Date,Value
2016-01-01,0.51
2016-01-04,0.515
2016-01-05,0.51
2016-01-06,0.51
2016-01-07,0.51
2016-01-08,0.51
2016-01-11,0.52
2016-01-12,0.515
2016-01-13,0.497
2016-01-14,0.474
2016-01-15,0.397
2016-01-18,0.376
2016-01-19,0.38
2016-01-20,0.515
2016-01-21,0.515
2016-01-22,0.523
2016-01-25,0.515
2016-01-26,0.515
2016-01-27,0.52
2016-01-28,0.518
2016-01-29,0.505
2016-02-01,0.505
2016-02-02,0.51
2016-02-03,0.51
2016-02-04,0.51
2016-02-05,0.508
2016-02-08,0.505
2016-02-09,0.5
2016-02-10,0.51
2016-02-11,0.505
2016-02-12,0.5
2016-02-15,0.5
2016-02-16,0.51
2016-02-17,0.51
2016-02-18,0.505
2016-02-19,0.505
2016-02-22,0.505
2016-02-23,0.502
2016-02-24,0.502
2016-02-25,0.51
2016-02-26,0.505
2016-02-29,0.505
2016-03-01,0.505
2016-03-02,0.512
2016-03-03,0.499
2016-03-04,0.493
2016-03-07,0.488
2016-03-08,0.483
2016-03-09,0.505
2016-03-10,0.505
2016-03-11,0.505
2016-03-14,0.505
2016-03-15,0.505
2016-03-16,0.503
2016-03-17,0.505
2016-03-18,0.505
2016-03-21,0.505
2016-03-22,0.505
2016-03-23,0.505
2016-03-24,0.508
2016-03-25,0.505
2016-03-28,0.505
2016-03-29,0.505
2016-03-30,0.505
2016-03-31,0.505
2016-04-01,0.505
2016-04-04,0.505
2016-04-05,0.505
2016-04-06,0.503
2016-04-07,0.505
2016-04-08,0.497
2016-04-11,0.498
2016-04-12,0.5
2016-04-13,0.503
2016-04-14,0.508
2016-04-15,0.507
2016-04-18,0.503
2016-04-19,0.505
2016-04-20,0.505
2016-04-21,0.508
2016-04-22,0.51
2016-04-25,0.503
2016-04-26,0.515
2016-04-27,0.51
2016-04-28,0.51
2016-04-29,0.513
2016-05-02,0.513
2016-05-03,0.515
2016-05-04,0.515
2016-05-05,0.51
2016-05-06,0.51
2016-05-09,0.51
2016-05-10,0.507
2016-05-11,0.508
2016-05-12,0.505
2016-05-13,0.508
2016-05-16,0.508
2016-05-17,0.508
2016-05-18,0.508
2016-05-19,0.508
2016-05-20,0.505
2016-05-24,0.505
2016-05-25,0.505
2016-05-26,0.505
2016-05-27,0.505
2016-05-30,0.505
2016-05-31,0.508
2016-06-01,0.508
2016-06-02,0.505
2016-06-03,0.507
2016-06-06,0.503
2016-06-07,0.508
2016-06-08,0.503
2016-06-09,0.508
2016-06-10,0.507
2016-06-13,0.508
2016-06-14,0.508
2016-06-15,0.505
2016-06-16,0.508
2016-06-17,0.511
2016-06-20,0.52
2016-06-21,0.508
2016-06-22,0.519
2016-06-23,0.515
2016-06-24,0.51
2016-06-27,0.512
2016-06-28,0.511
2016-06-29,0.513
2016-06-30,0.515
2016-07-01,0.515
2016-07-04,0.515
2016-07-05,0.52
2016-07-06,0.518
2016-07-07,0.503
2016-07-08,0.491
2016-07-11,0.498
2016-07-12,0.485
2016-07-13,0.513
2016-07-14,0.518
2016-07-15,0.52
2016-07-18,0.513
2016-07-19,0.515
2016-07-20,0.523
2016-07-21,0.515
2016-07-22,0.523
2016-07-25,0.528
2016-07-26,0.52
2016-07-27,0.53
2016-07-28,0.52
2016-07-29,0.52
2016-08-01,0.53
2016-08-02,0.52
2016-08-03,0.52
2016-08-04,0.52
2016-08-05,0.51
2016-08-08,0.51
2016-08-09,0.513
2016-08-10,0.513
2016-08-11,0.515
